Sequence,Type,Question,Answers,,,,
9,mc,"I think the gods are still alive. If I was a god, I think I'd be the one for the trees. What would you be the god of?",Every single badly kept secret.,All the knowledge that sits heavy for others.,Look at me. I'm no god. ,"If the gods were alive, they wouldn't be doing this to us.",I don’t know
1,mc,Oh you're awake. The moon is pretty full right now. How come you're up?,I heard you. I wanted to make sure you were okay. ,The moon is full only once a month. Seems like a waste to sleep through it. ,I'm going to need it to be fully dark for me to fall asleep. ,I heard the noises again. It feels like I can never go to sleep without them visiting me.,I don’t know
2,mc,This the bluest sky I've ever seen. It doesn't even look real. What does it look like to you?,It looks blue to you? I can't even pinpoint this shade but it's definitely not blue.,Like a painting by someone who lost their ear. ,It looks like the garden is growing from the sky. It's so busy I can't even tell you the colour.  ,The ghosts had leftover paint and dripped the atmosphere in it I think.,I don’t know
5,mc,There was something about that book that rubbed me off the wrong way.,Some books do that. It feels like they know us in a way no one ever will.,Same here. I think it remembers the last tragedy it witnessed.,Yeah? That doesn't sound good.,It's just a book. Not everything needs to be riddled with meaning. ,I don’t know
7,mc,You stand in front of a deserted house. I know this was a home once. What is it now? ,A warning,An affirmation,A promise,A sign,I don’t know
9,mc,Everything is happening so fast. Where would we even go if we made it all stop?,There is nowhere worth going. ,Anywhere with you away from this would be enough.,Somewhere warm with water and a potential to get burnt under the sun ,To the forest. I feel like we were ourselves the most there.,I don’t know
1,mc,It's a little cold here. I can see an echo of my own breath. Wait. Did you just see something out of the corner of your eye?,"I can't see very well like this, you know that. ","It's just your shadow, stop worrying.","It was probably nothing, just a trick of the eye",It's the ghost. I think it wants us to give up. I just can't do it.,I don’t know
2,mc,I'm so glad I found you. I never thought I would.,I can't stay. I'm so sorry it's so short. ,"God, I missed you so much. ",I don't think leaving was worth it. I'm so sorry I did that to you. ,"Me neither. It feels though as if, no matter what, we'll always find eachother.",I don’t know
5,mc,They're getting on my last nerve. It feels like nothing fazes you.,Oh you have not seen me around my mother. ,I just keep hidden better than you do. ,Honestly they're getting on my nerves too. Let's get out of here.,"I'm a taurus, it takes a lot to set me off.",I don’t know
7,mc,You always sit so oddly. ,I'm just never comfortable in any position ,It's my back. It's starting to hurt from all the walking. ,You're the one who always sits like you're worried the chair will eat you.,How come you've been noticing so much about me recently?,I don’t know
9,mc,They said the apple will taste like the things you want the most. Mine tasted like a summer iced tea and leftover warmth from hugging him. What does it taste like for you?,It tastes like this. Like being here.,Do you know that one park on York where we lost time to the sunflowers? Like there.,It tastes like the pie they made for me that one time. ,It just tastes like an apple. ,I don’t know
3,sa,"The last time we went, it paid off. I'll go if you go.",,,,,
4,sa,Do you have gum? You always just carry watermelon flavour. What's that about?,,,,,
6,sa,The lake contains my greatest fear. I'll tell you mine if you tell me yours?,,,,,
8,sa,They were your favorite person in the world. Why did you love them so much?,,,,,
3,sa,"If I hadn't come, who would you have taken instead?",,,,,
4,sa,My chest hurts. It happens when it rains. Is this what heartbreak feels like?,,,,,
6,sa,"Wait. This kid just looks like a younger version of you. We can't tell them too much, but you can tell them one thing. ",,,,,
8,sa,"I can't descirbe how hurt feels like. It's like, I don't what's the word?",,,,,
3,sa,This makes my heart soar. I wonder what makes you this happy? I'd love for you to feel like this someday.,,,,,
4,sa,Who is that in your wallet? They look happy.,,,,,
6,sa,Should we put time into this? Even when know it might now work?,,,,,
8,sa,Whose bed are you sitting at the edge of?,,,,,
3,sa,I remember the laughter. You were there. It was when we got together over at your house. Who was there?,,,,,
4,sa,Oh I remember. You liked vanilla. Who was the last person you had icecream with?,,,,,
6,sa,Why did you hold the door open?,,,,,
8,sa,When was the last time you were still?,,,,,
3,sa,"If you could return to that place, would you?",,,,,
4,sa,I feel like I know all your secrets. Tell me something you wish someone had told you.,,,,,
6,sa,The house is empty. I hear you kept a flashlight with you. Does it still work?,,,,,
8,sa,Why did you run away last time?,,,,,
3,sa,We can beat it. I know we can. You just need to tell me the best way to move on from ache. That's the secret. ,,,,,
4,sa,I wonder if this is a dream. Does it matter?,,,,,
6,sa,Endings sometimes look like middles. How do you think yours will happen?,,,,,
8,sa,The house at Queens is so beautiful. It looks like last place I called home. Tell me about the last place you called home. I promise no one else will know. ,,,,,
3,sa,"Sometimes when I feel so much, I can taste it in my mouth. Where do you hold all of this feeling? ",,,,,
4,sa,Is it time to rest yet?,,,,,
6,sa,You've started growing tomatoes again. It reminds me of their garden. These tomatoes taste different from before.,,,,,
8,sa,I'm calling them back. What should I say to make them stay?,,,,,
10,sa,I look at you and I wonder. Is there anything you regret?,,,,,
